142
131, (14, 16, 19, 20, 21, 22)
132, (14, 17, 18, 19, 20, 21)
133, (14, 17, 18, 20, 21, 22)
134, (14, 18, 19, 20, 22, 23)
135, (14, 19, 20, 21, 22, 23)
136, (15, 16, 18, 19, 20, 21)
137, (15, 16, 18, 20, 21, 22)
138, (15, 18, 19, 20, 21, 23)
139, (15, 18, 20, 21, 22, 23)
140, (16, 18, 19, 20, 21, 22)
141, (18, 19, 20, 21, 22, 23)
